"DATA_CENTER_URL"	"SHORT_DCNAME"	"LONG_DCNAME"
"http://www.natmus.fo/?lang=uk"	"NATMUS"	"Natural History Museum in Torshavn, Faroe Islands"
"http://www.nwri.ca/"	"NWRI"	"Environment Canada National Water Research Institute"
"http://www.stonybrook.edu"	"Stonybrook"	"Stony Brook University"
"http://www.nersc.no"	"NERSC"	"Nansen Environment and Remote Sensing Center"
"http://www.hafro.is"	"HAFRO"	"Marine Research Institute of Iceland (Hafrannsóknastofnunin) (HARFO)"
"http://www.univ-fcomte.fr/"	"UFC"	"Universite de Franche Comte"
"http://www.ulaval.ca/"	"ULAVAL"	"University of Laval (Université Laval)"
"http://www.uibk.ac.at/"	"UIBK"	"University of Innsbruck, Institute of Botany"
"http://www.fukuoka-u.ac.jp"	"Fukuoka"	"University of Fukuoka"
"http://www.uni-frankfurt.de"	"GUF"	"University of Frankfurt (Johann Wolfgang Goethe-Universität Frankfurt)"
"http://www.tlu.ee"	"TLU"	"Tallinn University"
"http://biol.lancs.ac.uk/bs/home.html"	"LANCS"	"Lancaster University, Department of Biological Sciences"
"http://www.univ-rennes1.fr/"	"Rennes 1"	"University of Rennes"
"http://www.uni-rostock.de"	"UR"	"University of Rostock"
"http://www.zsl.org/"	"ZSL"	"Zoological Society of London"
"http://www.arcticportal.org/iasc/"	"IASC"	"International Arctic Science Committee (IASC)"
"http://www.wadsworth.org/"	"Wadsworth"	"Wadsworth Center"
"http://www.evira.fi/portal/en/"	"Evira"	"Finnish Food Safety Authority, Oulu"
"http://www.monash.edu.au/"	"Monash"	"Monash University"
"http://www.ivl.se"	"IVL"	"Swedish Environmental Research Institute, Göteborg"
"http://www.shizuoka.ac.jp"	"Shizuoka"	"Shizuoka University"
"http://www.rktl.fi"	"FGFRI"	"Finnish Game and Fisheries Research Institute"
"http://www1.uea.ac.uk/cm/Home"	"UEA"	"University of East Anglia"
"http://www.ecu.edu"	"ECU"	"East Carolina University"
"http://www.henkel.com"	"Henkel"	"Henkel"
"http://www.ifj.edu.pl"	"PAS IFJ"	"Polish Academy of Sciences, Institute of Nuclear Physics (Instytut Fizyki Jadrowej)"
"http://www.natur.gl/"	"GN"	"Greenland Institute of Natural Resources (Grønlands Naturinstitut)"
